,date,open,high,low,close,volume,feature_SMA,feature_MiddleBand,feature_UpperBand,feature_LowerBand,feature_RSI,feature_MACD,feature_open,feature_high,feature_low,feature_close,feature_volume
1343,2023-10-03 10:40:00,27601.1,27613.55,27601.1,27611.01,12.34,27583.84,27579.44,27610.9,27547.98,64.63,4.038864300819114,27601.1,27613.55,27601.1,27611.01,12.34
1344,2023-10-03 10:41:00,27611.01,27611.01,27593.97,27593.98,11.87,27584.77,27579.82,27611.52,27548.12,52.75,4.1199668650988315,27611.01,27611.01,27593.97,27593.98,11.87
1345,2023-10-03 10:42:00,27593.97,27596.7,27593.97,27596.69,7.25,27585.64,27580.4,27612.25,27548.55,54.21,4.288411404104409,27593.97,27596.7,27593.97,27596.69,7.25
1346,2023-10-03 10:43:00,27596.7,27603.78,27596.69,27603.78,5.47,27586.73,27580.91,27613.43,27548.38,57.92,4.708714209700702,27596.7,27603.78,27596.69,27603.78,5.47
1347,2023-10-03 10:44:00,27603.77,27603.78,27603.77,27603.78,5.28,27587.88,27581.45,27614.58,27548.31,57.92,5.068901563365216,27603.77,27603.78,27603.77,27603.78,5.28
1348,2023-10-03 10:45:00,27603.77,27613.41,27603.77,27613.4,4.8,27590.01,27582.18,27616.49,27547.86,62.8,5.758330488664797,27603.77,27613.41,27603.77,27613.4,4.8
1349,2023-10-03 10:46:00,27613.4,27613.41,27606.63,27606.63,11.93,27591.74,27583.11,27617.5,27548.72,57.67,6.084722210049222,27613.4,27613.41,27606.63,27606.63,11.93
1350,2023-10-03 10:47:00,27606.64,27607.71,27600.0,27600.01,10.83,27593.17,27583.93,27617.94,27549.92,53.05,6.0934672096518625,27606.64,27607.71,27600.0,27600.01,10.83
1351,2023-10-03 10:48:00,27600.01,27600.01,27590.0,27590.01,6.55,27594.28,27584.66,27617.54,27551.77,46.86,5.685019838332664,27600.01,27600.01,27590.0,27590.01,6.55
1352,2023-10-03 10:49:00,27590.0,27590.01,27585.72,27585.73,4.91,27594.61,27585.37,27616.7,27554.04,44.44,5.135046619838249,27590.0,27590.01,27585.72,27585.73,4.91
1353,2023-10-03 10:50:00,27585.73,27592.66,27585.72,27592.66,10.97,27594.66,27586.16,27616.15,27556.16,49.09,4.907962030694762,27585.73,27592.66,27585.72,27592.66,10.97
1354,2023-10-03 10:51:00,27592.65,27603.78,27592.65,27603.77,8.23,27595.24,27586.93,27616.7,27557.17,55.58,5.135260167891829,27592.65,27603.78,27592.65,27603.77,8.23
1355,2023-10-03 10:52:00,27603.78,27611.15,27603.77,27611.15,7.68,27596.57,27587.79,27617.83,27557.75,59.34,5.61703156002477,27603.78,27611.15,27603.77,27611.15,7.68
1356,2023-10-03 10:53:00,27611.15,27614.59,27611.14,27614.58,7.13,27597.69,27588.76,27619.07,27558.45,61.01,6.166078975373239,27611.15,27614.59,27611.14,27614.58,7.13
1357,2023-10-03 10:54:00,27614.59,27614.59,27613.12,27613.12,8.51,27598.31,27589.14,27620.18,27558.09,59.87,6.578320327538677,27614.59,27614.59,27613.12,27613.12,8.51
